seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,11,5,4,122,6,0.5556,0.4545,0.5
42,play_triangle,1,0,0,136,1,0.0,0.0,0.0
42,google_play,3,2,4,130,1,0.3333,0.6667,0.4444
42,next,2,0,6,129,2,0.0,0.0,0.0
42,free,9,9,12,116,0,0.4286,1.0,0.6
42,got,14,6,0,123,8,1.0,0.4286,0.6
42,arrow,11,9,11,115,2,0.45,0.8182,0.5806
43,x_mark,11,9,8,118,2,0.5294,0.8182,0.6429
43,play_triangle,1,0,0,136,1,0.0,0.0,0.0
43,google_play,3,1,0,134,2,1.0,0.3333,0.5
43,next,2,2,8,127,0,0.2,1.0,0.3333
43,free,9,9,12,116,0,0.4286,1.0,0.6
43,got,14,0,0,123,14,0.0,0.0,0.0
43,arrow,11,8,3,123,3,0.7273,0.7273,0.7273
44,x_mark,11,10,54,72,1,0.1562,0.9091,0.2667
44,play_triangle,1,1,2,134,0,0.3333,1.0,0.5
44,google_play,3,0,0,134,3,0.0,0.0,0.0
44,next,2,0,0,135,2,0.0,0.0,0.0
44,free,9,9,3,125,0,0.75,1.0,0.8571
44,got,14,8,0,123,6,1.0,0.5714,0.7273
44,arrow,11,8,7,119,3,0.5333,0.7273,0.6154
