seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.65,34,34,6,229,0,0.85,1.0,0.9189,137,1,0.0073
seed42,play_triangle,0.75,48,40,3,218,8,0.9302,0.8333,0.8791,137,0,0.0
seed42,google_play,0.65,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed42,next,0.55,2,2,8,259,0,0.2,1.0,0.3333,137,0,0.0
seed42,free,0.3,5,4,0,264,1,1.0,0.8,0.8889,137,0,0.0
seed42,got,0.4,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed42,arrow,0.75,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
seed43,x_mark,0.8,34,33,1,234,1,0.9706,0.9706,0.9706,137,0,0.0
seed43,play_triangle,0.65,48,44,4,217,4,0.9167,0.9167,0.9167,137,0,0.0
seed43,google_play,0.45,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed43,next,0.55,2,2,10,257,0,0.1667,1.0,0.2857,137,0,0.0
seed43,free,0.25,5,3,0,264,2,1.0,0.6,0.75,137,0,0.0
seed43,got,0.4,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed43,arrow,0.75,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
seed44,x_mark,0.9,34,28,0,235,6,1.0,0.8235,0.9032,137,0,0.0
seed44,play_triangle,0.7,48,44,2,219,4,0.9565,0.9167,0.9362,137,0,0.0
seed44,google_play,0.65,1,1,0,268,0,1.0,1.0,1.0,137,0,0.0
seed44,next,0.45,2,2,44,223,0,0.0435,1.0,0.0833,137,11,0.0803
seed44,free,0.2,5,1,1,263,4,0.5,0.2,0.2857,137,1,0.0073
seed44,got,0.35,32,32,0,237,0,1.0,1.0,1.0,137,0,0.0
seed44,arrow,0.7,10,10,0,259,0,1.0,1.0,1.0,137,0,0.0
