seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.5,11,5,4,122,6,0.5556,0.4545,0.5,88,2,0.0227
seed42,play_triangle,0.35,1,1,0,136,0,1.0,1.0,1.0,88,0,0.0
seed42,google_play,0.55,3,2,0,134,1,1.0,0.6667,0.8,88,0,0.0
seed42,next,0.4,2,2,7,128,0,0.2222,1.0,0.3636,88,0,0.0
seed42,free,0.75,9,9,0,128,0,1.0,1.0,1.0,88,0,0.0
seed42,got,0.3,14,14,12,111,0,0.5385,1.0,0.7,88,9,0.1023
seed42,arrow,0.65,11,8,2,124,3,0.8,0.7273,0.7619,88,0,0.0
seed43,x_mark,0.5,11,9,8,118,2,0.5294,0.8182,0.6429,88,4,0.0455
seed43,play_triangle,0.3,1,1,18,118,0,0.0526,1.0,0.1,88,15,0.1705
seed43,google_play,0.35,3,3,2,132,0,0.6,1.0,0.75,88,0,0.0
seed43,next,0.55,2,2,7,128,0,0.2222,1.0,0.3636,88,0,0.0
seed43,free,0.7,9,9,0,128,0,1.0,1.0,1.0,88,0,0.0
seed43,got,0.25,14,13,13,110,1,0.5,0.9286,0.65,88,11,0.125
seed43,arrow,0.5,11,8,3,123,3,0.7273,0.7273,0.7273,88,0,0.0
seed44,x_mark,0.6,11,6,13,113,5,0.3158,0.5455,0.4,88,2,0.0227
seed44,play_triangle,0.5,1,1,2,134,0,0.3333,1.0,0.5,88,0,0.0
seed44,google_play,0.25,3,3,82,52,0,0.0353,1.0,0.0682,88,49,0.5568
seed44,next,0.3,2,2,60,75,0,0.0323,1.0,0.0625,88,44,0.5
seed44,free,0.5,9,9,3,125,0,0.75,1.0,0.8571,88,1,0.0114
seed44,got,0.45,14,11,0,123,3,1.0,0.7857,0.88,88,0,0.0
seed44,arrow,0.55,11,8,6,120,3,0.5714,0.7273,0.64,88,0,0.0
