seed,family,threshold,support,tp,fp,tn,fn,precision,recall,f1,none_support,none_false_activation,none_false_activation_rate
seed42,x_mark,0.75,9,8,3,144,1,0.7273,0.8889,0.8,73,0,0.0
seed42,play_triangle,0.3,28,27,0,128,1,1.0,0.9643,0.9818,73,0,0.0
seed42,google_play,0.5,3,3,0,153,0,1.0,1.0,1.0,73,0,0.0
seed42,next,0.7,1,1,0,155,0,1.0,1.0,1.0,73,0,0.0
seed42,free,0.8,5,4,0,151,1,1.0,0.8,0.8889,73,0,0.0
seed42,got,0.25,23,23,0,133,0,1.0,1.0,1.0,73,0,0.0
seed42,arrow,0.6,14,13,2,140,1,0.8667,0.9286,0.8966,73,0,0.0
seed43,x_mark,0.65,14,11,1,140,3,0.9167,0.7857,0.8462,73,0,0.0
seed43,play_triangle,0.2,29,29,0,126,0,1.0,1.0,1.0,73,0,0.0
seed43,google_play,0.2,4,4,1,150,0,0.8,1.0,0.8889,73,0,0.0
seed43,next,0.05,1,1,70,84,0,0.0141,1.0,0.0278,73,33,0.4521
seed43,free,0.6,2,1,0,153,1,1.0,0.5,0.6667,73,0,0.0
seed43,got,0.3,26,26,0,129,0,1.0,1.0,1.0,73,0,0.0
seed43,arrow,0.7,6,5,3,146,1,0.625,0.8333,0.7143,73,0,0.0
seed44,x_mark,0.35,27,25,7,138,2,0.7812,0.9259,0.8475,72,2,0.0278
seed44,play_triangle,0.25,34,34,0,138,0,1.0,1.0,1.0,72,0,0.0
seed44,google_play,0.55,1,1,0,171,0,1.0,1.0,1.0,72,0,0.0
seed44,next,0.6,2,1,0,170,1,1.0,0.5,0.6667,72,0,0.0
seed44,free,0.8,4,4,0,168,0,1.0,1.0,1.0,72,0,0.0
seed44,got,0.2,19,19,0,153,0,1.0,1.0,1.0,72,0,0.0
seed44,arrow,0.85,13,9,0,159,4,1.0,0.6923,0.8182,72,0,0.0
