seed,family,support,tp,fp,tn,fn,precision,recall,f1
42,x_mark,34,34,10,225,0,0.7727,1.0,0.8718
42,play_triangle,48,41,6,215,7,0.8723,0.8542,0.8632
42,google_play,1,1,1,267,0,0.5,1.0,0.6667
42,next,2,2,38,229,0,0.05,1.0,0.0952
42,free,5,0,0,264,5,0.0,0.0,0.0
42,got,32,32,0,237,0,1.0,1.0,1.0
42,arrow,10,10,3,256,0,0.7692,1.0,0.8696
43,x_mark,34,34,6,229,0,0.85,1.0,0.9189
43,play_triangle,48,44,13,208,4,0.7719,0.9167,0.8381
43,google_play,1,1,0,268,0,1.0,1.0,1.0
43,next,2,2,21,246,0,0.087,1.0,0.16
43,free,5,0,0,264,5,0.0,0.0,0.0
43,got,32,32,0,237,0,1.0,1.0,1.0
43,arrow,10,10,5,254,0,0.6667,1.0,0.8
44,x_mark,34,28,14,221,6,0.6667,0.8235,0.7368
44,play_triangle,48,44,11,210,4,0.8,0.9167,0.8544
44,google_play,1,1,3,265,0,0.25,1.0,0.4
44,next,2,1,32,235,1,0.0303,0.5,0.0571
44,free,5,0,0,264,5,0.0,0.0,0.0
44,got,32,32,0,237,0,1.0,1.0,1.0
44,arrow,10,10,2,257,0,0.8333,1.0,0.9091
